Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
Switchback Railway,Coney Island,Removed,LaMarcus Adna Thompson,1884,1884-06-16,6.0
Flip Flap Railway,Sea Lion Park,Removed,Lina Beecher,1895,1895-01-01,
Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1896,,
Loop the Loop (Coney Island),Other,Removed,Edwin Prescott,1901,1901-01-01,
Loop the Loop (Young's Pier),Other,Removed,Edwin Prescott,1901,1901-01-01,
Cannon Coaster,Coney Island,Removed,George Francis Meyer,1902,1902-01-01,
Leap-The-Dips,Lakemont Park,Operating,Federal Construction Company,1902,1902-01-01,10.0
Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1904,,
Drop the Dip,Coney Island,Removed,Arthur Jarvis,1907,1907-06-06,
Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1907,,
Loop the Loop (Olentangy Park),Olentangy Park,Removed,Lina Beecher,1908,1908-01-01,
Aero Dips,"Cleveland, Ohio, United States",Closed,,1909,,
Backety-Back Scenic Railway,Crystal Beach,Removed,,1909,1909-01-01,10.0
Racer (1910 roller coaster),Kennywood,Operating,Charlie Mach,1910,1927-01-01,40.0
Derby Racer,Revere Beach,Removed,Fred W. Pearce,1911,1911-01-01,
The Great Scenic Railway,Luna Park Melbourne,Operating,LaMarcus Thompson,1912,1912-12-01,37.3
Zippin Pippin,Other,,The Gravity Group,1912,,40.0
Racing Coaster,"Cleveland, Ohio, United States",Closed,,1913,,
Whirl Pool Dips,Tolchester Beach Park,Removed,,1913,1913-01-01,
Green Dragon (Lake Compounce),Lake Compounce,Removed,,1914,1914-01-01,
The Wild One (roller coaster),Six Flags America,,Dinn Corporation,1917,,53.0
Jack Rabbit (Clementon Park),Clementon Park,Removed,Philadelphia Toboggan Coasters,1919,1919-01-01,
Jack Rabbit (Kennywood),Kennywood,Operating,Harry C. Baker,1920,1920-01-01,45.0
Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Operating,Harry C. Baker,1920,1920-01-01,42.0
Scenic Railway (roller coaster),Dreamland Margate,Operating,,1920,1920-07-03,35.0
Roller Coaster (Lagoon),Lagoon Amusement Park,Operating,,1921,1921-07-15,45.0
Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,William Strickler,1923,1923-08-23,40.0
Wild Cat (Hersheypark),Hersheypark,Removed,Philadelphia Toboggan Coasters,1923,1923-06-16,
The Bobs (roller coaster),Riverview Park,Removed,Prior and Church,1924,1924-01-01,50.0
Giant Dipper,Santa Cruz Beach Boardwalk,Operating,Arthur Looff,1924,1924-05-17,55.0
Pippin (roller coaster),Kennywood,Operating,,1924,1968-01-01,55.0
The Thriller (roller coaster),"Cleveland, Ohio, United States",Closed,,1924,,
Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,1924,1924-03-30,45.0
Big Dipper (Geauga Lake),Geauga Lake,Removed,,1925,1925-01-01,32.0
Cyclone (Revere Beach),Revere Beach,Removed,Traver Engineering,1925,1925-01-01,45.0
Giant Dipper (Belmont Park),Other,Operating,"Frank Prior, Fredrick Church",1925,1925-07-04,48.0
Jazz Railway,Rocky Glen Park,Removed,Traver Engineering,1925,1925-01-01,
Thunderbolt (1925 roller coaster),Coney Island,Removed,,1925,1925-01-01,
Thunderbolt (Savin Rock),Savin Rock,Removed,Traver Engineering,1925,1925-05-05,
Crystal Beach Cyclone,Crystal Beach Park,Removed,Traver Engineering,1926,1926-01-01,60.0
Sesquicentennial Cyclone,Sesquicentennial Exposition,Removed,Traver Engineering,1926,1926-05-31,
Tornado (Coney Island),Coney Island,Removed,,1926,1926-01-01,
Coney Island Cyclone,"Luna Park, Coney Island",Operating,,1927,1927-06-26,60.0
Cyclone (Palisades Amusement Park),Palisades Amusement Park,Removed,Traver Engineering,1927,1927-09-10,
Lightning (Revere Beach),Revere Beach,Removed,Traver Engineering,1927,1927-07-02,
Racer (Kennywood),Kennywood,Operating,Charlie Mach,1927,1927-01-01,40.0
Wildcat (Lake Compounce),Lake Compounce,Operating,Philadelphia Toboggan Coasters,1927,1927-01-01,48.0
Zip (roller coaster),Oaks Amusement Park,Removed,Traver Engineering,1927,1927-01-01,
Airplane Coaster,Playland,Removed,Frank W. Darling,1928,1928-05-26,40.0
Montaña Suiza,Monte Igueldo Amusement Park,Operating,,1928,1928-01-01,31.0
Dragon Coaster (Playland),Playland,Operating,,1929,1929-01-01,
Flying Turns (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1930,,
Yankee Cannonball,Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,1930,1930-01-01,35.0
Roller Coaster (Great Yarmouth Pleasure Beach),Great Yarmouth Pleasure Beach,Operating,,1932,1932-05-01,45.0
Nickelodeon Streak,Blackpool Pleasure Beach,Operating,,1933,1933-01-01,35.0
Zipper Dipper,Blackpool Pleasure Beach,Operating,,1934,1934-01-01,
Big Dipper (Luna Park Sydney),Other,,,1935,,58.0
